codigo,nombre,ingredientes,categoria,cats,etiqueta,beneficios,avisos,contenido,precioPublico,precioPúblico_K,precioMayoreo,precioMayoreo_K,precioDistribuidor,precioDistribuidor_K,Imagen,cantidadArticulos
102001,Abre Caminos,"Glicerina, LESS, Cocoamida, Aceite de coco, Ruda, Romero, Santa María (Tanacetum balsamita), TEA",Jabón sólido,Aromáticos,NS+AL,"Aroma herbal intenso que deja sensación limpia y vigorizante.
Limpieza amable con base de glicerina, enjuague fácil.
Ideal para rutinas matutinas cuando buscas un efecto despeje.","Por los botánicos potentes, no recomendado para piel muy reactiva. Prueba de parche primero.",100 gr,45,450,43,430,39,390,102001.webp,1
102044,Abre Caminos con miel,"Glicerina, LESS, Cocoamida, Aceite de coco, Ruda, Romero, Santa María (Tanacetum balsamita), Miel TEA",Jabón sólido,Astringente,NS+AL,"Aroma herbal intenso con toque dulce que convierte la ducha en un momento reconfortante.
Sensación fresca y de limpieza al enjuagar.
Base de glicerina: limpieza suave y enjuague fácil, sin sensación pegajosa.
Espuma ligera/cremosa que deja tacto cómodo.
Ideal para quienes buscan un perfil verde con un matiz cálido de miel.","Puede contener alérgenos aromáticos. Evita el contorno de ojos. Piel muy reactiva: prueba de parche; si irrita, suspende.",100 gr,45,450,43,430,39,390,102044.webp,1
102139,Abre Caminos Menta Coco,"Glicerina, LESS, Cocoamida, Acite de coco, Abre Caminos Menta Coco TEA",Jabón sólido,Jabón sólido,NS+AL,"Aroma herbal profundo con notas verdes y ligeramente especiadas que acompaña momentos de renovación y limpieza personal durante el baño.
Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.
Mezcla botánica inspirada en tradiciones de bienestar que se asocian con la idea de renovar la energía personal y comenzar el día con mayor claridad y ligereza.
Su aroma herbal envolvente crea una experiencia de baño que invita a pausar, respirar y soltar la tensión acumulada.
Espuma ligera que facilita la limpieza diaria mientras deja una sensación fresca y revitalizante en la piel.
Ideal para quienes disfrutan rituales sencillos de cuidado personal y aromas naturales que evocan limpieza, claridad y nuevos comienzos.",Contiene extractos herbales y compuestos aromáticos naturales que pueden provocar irritación en piel sensible o muy reactiva. No recomendado para piel extremadamente sensible. Haz prueba de parche antes de usar. Suspende su uso si aparece irritación.,100 gr,40,400,38,380,34,340,102139.webp,1
102138,Abre Caminos Miel y Albahaca,"Glicerina, LESS, Cocoamida, Acite de coco, Ruda, Romero, Santa María (Tanacetum balsamita) TEA",Jabón sólido,Jabón sólido,NS+AL,"Aroma herbal intenso con notas verdes y ligeramente amargas que aporta una sensación de limpieza profunda y frescura natural durante el baño.
Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.
Mezcla botánica tradicionalmente asociada la purificación.
Ayuda a que la piel se sienta fresca, limpia y equilibrada después del lavado.
Espuma ligera que facilita la limpieza diaria y deja una sensación herbal duradera en la piel.
Ideal para quienes disfrutan aromas naturales intensos y una experiencia de baño energizante.",Contiene extractos herbales y compuestos aromáticos naturales que pueden generar reacción en piel sensible o muy reactiva. No recomendado durante embarazo ni para piel extremadamente sensible. Haz prueba de parche antes de usar. Suspende su uso si aparece irritación.,100 gr,40,400,38,380,34,340,102138.webp,1
102002,Albahaca,"Glicerina, LESS, Cocoamida, Aceite de coco, Albahaca, TEA",Jabón sólido,Aromáticos,NS+AL,"Aroma herbal fresco que deja sensación limpia y despejada tras el enjuague.
Base de glicerina: limpieza suave, fácil de enjuagar, sin sensación pegajosa.
Acompaña rutinas matutinas aportando una sensación de equilibrio en piel normal/mixta.
Espuma ligera que no satura; ideal para uso cotidiano.
Notas verdes tipo spa casero, pensadas para un baño revitalizante.",Contiene compuestos aromáticos potencialmente sensibilizantes → No sensible (NS) · Alérgeno (AL).,100 gr,45,450,43,430,39,390,102002.webp,1
102003,Almendras,"Glicerina, LESS, Cocoamida, Aceite de coco, Aceite de almendras, Base de almendras, TEA",Jabón sólido,Aromáticos,NS+AL,"Aroma suave y cálido tipo mazapán que acompaña sin invadir.
Base de glicerina: limpieza amable, enjuague fácil, sin sensación pegajosa.
Aporta confort y sensación emoliente en piel normal a seca.
Espuma cremosa que hace la rutina rápida y agradable.
Ideal para baño nocturno por su perfil reconfortante.","Si tiene alergia a frutos secos o piel muy reactiva, mejor elija entre nuestros jabones ""Sencibles"" o pruebe otra fragancia de esta línea.",100 gr,45,450,43,430,39,390,102003.webp,1
102004,Almendras y avena,"Glicerina, LESS, Cocoamida, Aceite de coco, Aceite de almendras, Base de almendras, Avena, TEA",Jabón sólido,Aromáticos,NS+AL,"Aroma cálido y cremoso que acompaña sin invadir (toque “comfort”).
Base de glicerina: limpia suave y se enjuaga fácil, sin sensación pegajosa.
Avena ayuda a dar suavidad y a calmar la apariencia de irritaciones leves del día a día.
Perfil emoliente por la almendra: deja tacto más flexible tras el secado.
Espuma cremosa, ideal para rutina nocturna o climas secos.","Si tiene piel muy reactiva o alergia a frutos secos, pruebe mejor nuestro jabón de Avena.",100 gr,45,450,43,430,39,390,102004.webp,1
102005,Aloe Vera,"Glicerina, LESS, Cocoamida, Aceite de coco, Alore vera, TEA",Jabón sólido,Piel sensible,S,"Humectación inmediata: ayuda a retener agua y reduce la sensación de tirantez.
Efecto calmante y refrescante tras ducha; acompaña pieles que se irritan fácil.
Base de glicerina: limpieza suave, enjuague fácil, sin sensación pegajosa.
Aporta confort en climas calurosos o después de exposición solar ligera.
Espuma ligera pensada para uso cotidiano y pieles que buscan suavidad.",,100 gr,45,450,43,430,39,390,102005.webp,1
102047,Aloe vera con Vitamina E,"Glicerina, LESS, Cocoamida, Aceite de coco, Alore vera, Vitamina E, TEA",Jabón sólido,Piel sensible,S,"Hidratación y confort: aloe que ayuda a reducir la sensación de tirantez tras el baño.
Con vitamina E (antioxidante) para una sensación de suavidad al tacto.
Base de glicerina: limpieza gentil y enjuague fácil, sin residuo pegajoso.
Espuma ligera pensada para uso diario.
Perfil neutro y amable, ideal cuando no quieres aromas intensos.","Evita el contorno de ojos. Si tu piel es muy reactiva, haz prueba de parche; si irrita, suspende.",100 gr,45,450,43,430,39,390,102047.webp,1
102006,Aloe vera y ácido hialurónico,"Glicerina, LESS, Cocoamida, Aceite de coco, Aloe vera, Ácido Hialurónico, TEA",Jabón sólido,Piel sensible,S,"Hidratación profunda y sostenida: el hialurónico (sodium hyaluronate) ayuda a retener agua y mejorar la sensación de elasticidad.
Calma inmediata: el aloe aporta frescura y reduce la sensación de tirantez tras la ducha.
Limpieza suave: base de glicerina, enjuague fácil, sin residuo pegajoso.
Confort de barrera: uso cotidiano que apoya a una piel que se irrita con facilidad.
Acabado cómodo: espuma ligera; piel se siente suave y con mejor flexibilidad al tacto.",,100 gr,45,450,43,430,39,390,102006.webp,1
